Id,House name,House place,House price,House introduction
1,泽翠居,萧山,17730,3室/建筑面积：89-98㎡
2,樟源府,萧山,13700,3室/4室/建筑面积：89-121㎡
3,祥生湛景江山云樾府,钱塘,26200,3室/4室/建筑面积：88-128㎡
4,春江御园,富阳,600,别墅/建筑面积：170-300㎡
5,保利·和颂春风里,拱墅,29500,3室/4室/建筑面积：107-139㎡
6,绿城吉祥里,拱墅,35000,商业/建筑面积：310㎡
7,柏源晶舍,临安,22800,1室/3室/4室/建筑面积：42-110㎡
8,绿地柏澜晶舍,临安,298,3室/4室/别墅/建筑面积：89-202㎡
9,保利和著风华里,拱墅,33200,3室/4室/建筑面积：102-139㎡
10,华昭府,余杭,20500,3室/4室/建筑面积：111-256㎡
11,启航城,余杭,20000,3室/4室/建筑面积：97-131㎡
12,华景川科大湖沁宸园,临平,19800,3室/4室/建筑面积：97.65-118㎡
13,万科江斓映象府,滨江,49300,4室/5室/建筑面积：147-199㎡
14,荷禹宸府,临平,22600,3室/4室/建筑面积：96-127㎡
15,文宸望府,萧山,21400,3室/4室/建筑面积：98-118㎡
16,春境前潮府,萧山,18000,3室/4室/建筑面积：89-137㎡
17,华景川樾臻府,萧山,13000,3室/4室/建筑面积：89-116㎡
18,绿城桂语新月,富阳,22000,3室/4室/建筑面积：98-138㎡
19,能建城发瞰奥府,萧山,34000,3室/4室/建筑面积：100-138㎡
20,拥奥府,萧山,42900,3室/4室/建筑面积：98-126㎡
21,滨江澄虹府,萧山,46200,4室/5室/建筑面积：132-236㎡
22,滨运锦上湾,拱墅,32333,NaN
23,滨江春天阳光名城,钱塘,18700,3室/4室/5室/建筑面积：89-156㎡
24,湖翠里,钱塘,38300,4室/建筑面积：130-166㎡
25,翠语彩虹里,西湖,28600,3室/4室/建筑面积：109-139㎡
26,绿城晓月和风,滨江,40000,3室/4室/建筑面积：110-165㎡
27,杭州春江潮鸣,萧山,19856,4室/7室/建筑面积：300-870㎡
28,蝶翠迎宾府,临平,26600,3室/4室/建筑面积：96-139㎡
29,大家中天云翠金澜府,上城,44400,3室/4室/建筑面积：110-168㎡
30,春咏风荷里,钱塘,27500,3室/4室/建筑面积：99-121㎡
31,滨江旭辉滨旭府,萧山,25600,3室/4室/建筑面积：89-110㎡
32,绿城·春境东来院,临平,33600,4室/5室/建筑面积：122-170㎡
33,龙井院子,西湖,600,别墅/建筑面积：138-160㎡
34,万科星图光年轩,余杭,29100,3室/4室/建筑面积：105-139㎡
35,融创·杭曜之城,钱塘,30000,3室/4室/建筑面积：105-142㎡
36,禹洲泊朗廷,萧山,26800,2室/3室/4室/建筑面积：81-148㎡
37,华发联发悦望荟,拱墅,33200,3室/4室/建筑面积：103-139㎡
38,融创森与海之城,萧山,14000,2室/3室/4室/5室/别墅/建筑面积：88-166㎡
39,滨江中豪枫秀云庭,余杭,36100,4室/5室/建筑面积：120-190㎡
40,金帝·咏颂轩,萧山,34198,3室/4室/建筑面积：107-125㎡
41,德信金科泊岸江宸轩,萧山,21400,3室/建筑面积：89.22-107.39㎡
42,叠潮雅庭,萧山,30860,4室/5室/建筑面积：118-162㎡
43,联发臻和雅颂府,拱墅,48100,4室/建筑面积：135-150㎡
44,中天海威云咏汀洲,临平,26600,3室/4室/建筑面积：98-130㎡
45,萧澜隐翠轩,萧山,30000,3室/4室/建筑面积：99-127㎡
46,星创云珹府,余杭,20500,3室/4室/建筑面积：106-152㎡
47,滨江大家招商·锦翠金宸府,拱墅,34000,3室/4室/建筑面积：99-138㎡
48,祥新·如澜邸,西湖,28100,3室/4室/建筑面积：89-175㎡
49,绿城·樾鸣春晓园,余杭,23100,3室/4室/建筑面积：105-125㎡
50,中融蓝城Co.C理想城,西湖,28000,商业/建筑面积：29-51㎡
51,地铁越秀·星缦云渚,余杭,29090,3室/4室/建筑面积：97-141㎡
52,东海闲湖城·栖霞湾,余杭,19198,3室/4室/建筑面积：98-138㎡
53,西投绿城春树云筑公寓,西湖,29800,商业/建筑面积：33-76㎡
54,滨江越秀天澜美境,上城,51000,4室/5室/建筑面积：178-248㎡
55,宁望府,萧山,33500,3室/4室/建筑面积：108-142㎡
56,运晓花映里,拱墅,30000,3室/建筑面积：96-130㎡
57,中天翡玥府,钱塘,18000,3室/建筑面积：86-101㎡
58,三迪雅颂美筑,钱塘,14600,3室/4室/建筑面积：88-112㎡
59,兴耀湖境观岚湾,钱塘,21300,3室/4室/建筑面积：89-139㎡
60,西房·宸鹭晴语轩,拱墅,47000,4室/建筑面积：139-176㎡
61,馥源庭,拱墅,55363,3室/4室/6室/建筑面积：110-230㎡
62,万象上东,上城,38000,2室/3室/4室/建筑面积：84-150㎡
63,ONE53,上城,90000,商业/建筑面积：244-438㎡
64,杭州国际金融中心,上城,57215,4室/建筑面积：158-320㎡
65,晨语汀澜里,临平,23600,3室/4室/建筑面积：99-139㎡
66,亚奥城,萧山,35000,商业/建筑面积：42-145㎡
67,融创融耀之城,临平,24000,3室/4室/建筑面积：89-125㎡
68,湖翠晓印轩,萧山,502,建筑面积：151637㎡
69,杭曜置地中心,拱墅,46200,3室/4室/建筑面积：118-179㎡
70,东湖云杉郡,临平,19000,商业/建筑面积：40-75㎡
71,杭州新天地,拱墅,26000,商业/建筑面积：40-136㎡
72,保亿湖珀润园,萧山,26845,4室/建筑面积：162-171㎡
73,之彩城,萧山,17000,2室/3室/4室/建筑面积：97-129㎡
74,杭房众安·未珂宸铭府,余杭,24110,3室/4室/建筑面积：108-138㎡
75,广宇·锦上云澜,钱塘,27500,3室/4室/建筑面积：99-160㎡
76,咏翠芳华轩,临平,22600,3室/4室/建筑面积：98-139㎡
77,澳海云樾赋,富阳,11300,2室/3室/建筑面积：81.69-113㎡
78,绿城卓越傲旋城公寓,滨江,33000,商业/建筑面积：57-312㎡
79,星创雅望居,萧山,25600,3室/4室/建筑面积：104-139㎡
80,百郦玲珑府,上城,44200,3室/4室/别墅/建筑面积：95-180㎡
81,和悦清晖园,余杭,612,别墅/建筑面积：190-240㎡
82,中骏鼎湖未来云城,临平,28500,3室/4室/建筑面积：108-190㎡
83,中建潮阅尚境,临平,26600,3室/4室/建筑面积：98-139㎡
84,绿城卓越傲旋城,滨江,47000,1室/2室/3室/建筑面积：90-90㎡
85,越秀滨江中豪翠宸里,余杭,31200,建筑面积：208700㎡
86,东傲城大平层,钱塘,13000,商业/建筑面积：300㎡
87,苏荷汇,拱墅,33000,商业/建筑面积：46-140㎡
88,荣盛江荣府,滨江,38000,4室/建筑面积：119-129㎡
89,绿荷叠翠轩,临平,22600,3室/4室/建筑面积：98-139㎡
90,御湖城,萧山,21000,商业/建筑面积：84-210㎡
91,如沐清晖城,临安,22500,2室/3室/别墅/建筑面积：97-195㎡
92,月映星语园,临平,24000,3室/4室/建筑面积：100-139㎡
93,洺川名著园,西湖,28200,4室/建筑面积：155-215㎡
94,山澜桂语轩,萧山,32000,3室/4室/建筑面积：89-119.17㎡
95,江河鸣翠公寓,上城,80000,建筑面积：132400㎡
96,运晓花望府,拱墅,29500,3室/4室/建筑面积：100-127㎡
97,濋玥府,萧山,30000,3室/4室/建筑面积：95-123㎡
98,大家中天·春樾星宸,拱墅,33200,3室/4室/建筑面积：110-137㎡
99,绿城·三江明月,萧山,22000,商业/建筑面积：36-43㎡
100,中海河映云集,拱墅,38000,3室/4室/建筑面积：107-147㎡
101,御滨府御映,滨江,40600,建筑面积：91459㎡
102,海潮望月城·潮印,上城,66000,建筑面积：296000㎡
103,瑞源邸,富阳,20500,3室/4室/建筑面积：93-121㎡
104,秦望府,富阳,29800,3室/4室/建筑面积：102-350㎡
105,沥瑞府,萧山,14500,3室/4室/建筑面积：100-134㎡
106,青溪美庐,临安,12500,1室/2室/建筑面积：41-75㎡
107,世茂栖棠誉湾,滨江,45836,4室/建筑面积：139㎡
108,庆樾上府,拱墅,55000,4室/5室/建筑面积：140-208㎡
109,金帝·湖望庐,萧山,35690,4室/建筑面积：126-139㎡
110,西房·宸鹭香舍,拱墅,47000,4室/5室/建筑面积：139-275㎡
111,金成滨玺云著邸,滨江,38000,3室/4室/建筑面积：104-131㎡
112,中天坤和大家·湖境天宸,上城,32900,3室/4室/建筑面积：110-139㎡
113,云彩之城,萧山,25600,4室/建筑面积：139㎡
114,蓝城恒伟江南山庄,临安,15000,3室/4室/别墅/建筑面积：89-287㎡
115,庞鑫沁耀府,萧山,17800,3室/4室/建筑面积：95-138㎡
116,望斓翠印府,上城,44400,建筑面积：78778㎡
117,翠著邱山里,临平,29780,4室/建筑面积：139-189㎡
118,听悦雅庭,萧山,30000,3室/4室/建筑面积：89-110㎡
119,赞成和风,临平,23600,3室/4室/建筑面积：105-137㎡
120,万科白鹭郡西,余杭,1484,别墅/建筑面积：265-1242㎡
121,泽翠居,萧山,17730,3室/建筑面积：89-98㎡
122,樟源府,萧山,13700,3室/4室/建筑面积：89-121㎡
123,祥生湛景江山云樾府,钱塘,26200,3室/4室/建筑面积：88-128㎡
124,春江御园,富阳,600,别墅/建筑面积：170-300㎡
125,保利·和颂春风里,拱墅,29500,3室/4室/建筑面积：107-139㎡
126,绿城吉祥里,拱墅,35000,商业/建筑面积：310㎡
127,柏源晶舍,临安,22800,1室/3室/4室/建筑面积：42-110㎡
128,绿地柏澜晶舍,临安,298,3室/4室/别墅/建筑面积：89-202㎡
129,保利和著风华里,拱墅,33200,3室/4室/建筑面积：102-139㎡
130,华昭府,余杭,20500,3室/4室/建筑面积：111-256㎡
131,启航城,余杭,20000,3室/4室/建筑面积：97-131㎡
132,华景川科大湖沁宸园,临平,19800,3室/4室/建筑面积：97.65-118㎡
133,万科江斓映象府,滨江,49300,4室/5室/建筑面积：147-199㎡
134,荷禹宸府,临平,22600,3室/4室/建筑面积：96-127㎡
135,文宸望府,萧山,21400,3室/4室/建筑面积：98-118㎡
136,春境前潮府,萧山,18000,3室/4室/建筑面积：89-137㎡
137,华景川樾臻府,萧山,13000,3室/4室/建筑面积：89-116㎡
138,绿城桂语新月,富阳,22000,3室/4室/建筑面积：98-138㎡
139,能建城发瞰奥府,萧山,34000,3室/4室/建筑面积：100-138㎡
140,拥奥府,萧山,42900,3室/4室/建筑面积：98-126㎡
141,滨江澄虹府,萧山,46200,4室/5室/建筑面积：132-236㎡
142,滨运锦上湾,拱墅,32333,NaN
143,滨江春天阳光名城,钱塘,18700,3室/4室/5室/建筑面积：89-156㎡
144,湖翠里,钱塘,38300,4室/建筑面积：130-166㎡
145,翠语彩虹里,西湖,28600,3室/4室/建筑面积：109-139㎡
146,绿城晓月和风,滨江,40000,3室/4室/建筑面积：110-165㎡
147,杭州春江潮鸣,萧山,19856,4室/7室/建筑面积：300-870㎡
148,蝶翠迎宾府,临平,26600,3室/4室/建筑面积：96-139㎡
149,大家中天云翠金澜府,上城,44400,3室/4室/建筑面积：110-168㎡
150,春咏风荷里,钱塘,27500,3室/4室/建筑面积：99-121㎡
151,滨江旭辉滨旭府,萧山,25600,3室/4室/建筑面积：89-110㎡
152,绿城·春境东来院,临平,33600,4室/5室/建筑面积：122-170㎡
153,龙井院子,西湖,600,别墅/建筑面积：138-160㎡
154,万科星图光年轩,余杭,29100,3室/4室/建筑面积：105-139㎡
155,融创·杭曜之城,钱塘,30000,3室/4室/建筑面积：105-142㎡
156,禹洲泊朗廷,萧山,26800,2室/3室/4室/建筑面积：81-148㎡
157,华发联发悦望荟,拱墅,33200,3室/4室/建筑面积：103-139㎡
158,融创森与海之城,萧山,14000,2室/3室/4室/5室/别墅/建筑面积：88-166㎡
159,滨江中豪枫秀云庭,余杭,36100,4室/5室/建筑面积：120-190㎡
160,金帝·咏颂轩,萧山,34198,3室/4室/建筑面积：107-125㎡
161,德信金科泊岸江宸轩,萧山,21400,3室/建筑面积：89.22-107.39㎡
162,叠潮雅庭,萧山,30860,4室/5室/建筑面积：118-162㎡
163,联发臻和雅颂府,拱墅,48100,4室/建筑面积：135-150㎡
164,中天海威云咏汀洲,临平,26600,3室/4室/建筑面积：98-130㎡
165,萧澜隐翠轩,萧山,30000,3室/4室/建筑面积：99-127㎡
166,星创云珹府,余杭,20500,3室/4室/建筑面积：106-152㎡
167,滨江大家招商·锦翠金宸府,拱墅,34000,3室/4室/建筑面积：99-138㎡
168,祥新·如澜邸,西湖,28100,3室/4室/建筑面积：89-175㎡
169,绿城·樾鸣春晓园,余杭,23100,3室/4室/建筑面积：105-125㎡
170,中融蓝城Co.C理想城,西湖,28000,商业/建筑面积：29-51㎡
171,地铁越秀·星缦云渚,余杭,29090,3室/4室/建筑面积：97-141㎡
172,东海闲湖城·栖霞湾,余杭,19198,3室/4室/建筑面积：98-138㎡
173,西投绿城春树云筑公寓,西湖,29800,商业/建筑面积：33-76㎡
174,滨江越秀天澜美境,上城,51000,4室/5室/建筑面积：178-248㎡
175,宁望府,萧山,33500,3室/4室/建筑面积：108-142㎡
176,运晓花映里,拱墅,30000,3室/建筑面积：96-130㎡
177,中天翡玥府,钱塘,18000,3室/建筑面积：86-101㎡
178,三迪雅颂美筑,钱塘,14600,3室/4室/建筑面积：88-112㎡
179,兴耀湖境观岚湾,钱塘,21300,3室/4室/建筑面积：89-139㎡
180,西房·宸鹭晴语轩,拱墅,47000,4室/建筑面积：139-176㎡
181,滨江同协金座,上城,33000,商业/建筑面积：45-73㎡
182,澳海百合云泽赋,富阳,12000,2室/3室/4室/建筑面积：80.97-127.02㎡
183,临栖云府,临安,18543,3室/4室/别墅/建筑面积：96-140㎡
184,揽月臻翠府·臻橒,上城,30000,建筑面积：144539㎡
185,朗诗溪涧雅庐,临安,14000,2室/3室/4室/建筑面积：88-173㎡
186,滨汇府,富阳,25000,4室/建筑面积：148-165㎡
187,驭远·久鸣府,钱塘,533,4室/别墅/建筑面积：142.81-204㎡
188,圣奥晓风望月府,临平,27720,4室/建筑面积：127-139㎡
189,祥生宸光悦,富阳,21500,3室/4室/建筑面积：98-118㎡
190,国芳中心SOHO,上城,33000,商业/建筑面积：53-80㎡
191,广瑞沁园,杭州周边,7780,3室/4室/建筑面积：77-126㎡
192,宝业凤樾上筑,萧山,20000,3室/4室/建筑面积：89-128㎡
193,绿城·雲溪里,余杭,783,别墅/建筑面积：280-350㎡
194,中天珺楠府,临安,23000,3室/建筑面积：99-99㎡
195,大华峰汇华城,富阳,22000,3室/4室/建筑面积：85-117㎡
196,云水山居,富阳,530,3室/4室/5室/别墅/建筑面积：134.91-648㎡
197,滨江棠前嘉座,拱墅,41660,建筑面积：72095㎡
198,城西宝龙广场,余杭,28000,商业/建筑面积：30-59㎡
199,西投滨江云栖名筑,西湖,37000,商业/建筑面积：300-300㎡
200,亿联之江心月,西湖,30000,建筑面积：58622㎡
201,杭州国际办公中心·潮悦,萧山,46000,商业/建筑面积：60-60㎡
202,华博江南首府,桐庐县,11000,3室/4室/建筑面积：88-108㎡
203,宋都时间名座,临平,20800,商业/建筑面积：39-61㎡
204,杭珹未来中心商业,余杭,55000,建筑面积：1019000㎡
205,镜象西湖公寓,西湖,33000,商业/建筑面积：50-51㎡
206,湖印宸山,临平,850,别墅/建筑面积：158-315㎡
207,兴耀龙湖天泱雅筑,拱墅,35000,商业/建筑面积：315-325㎡
208,绿城江上臻园,富阳,25000,3室/4室/建筑面积：100-144㎡
209,中天大家宸澜学府,临安,22800,2室/3室/建筑面积：69-89㎡
210,蓝城·云和里,西湖,35000,建筑面积：46317㎡
211,东部之星,钱塘,18000,商业/建筑面积：58㎡
212,韵瑚兰庭,淳安县,6900,3室/建筑面积：89-110㎡
213,滨江千岛湖城市之星,淳安县,16000,3室/4室/建筑面积：98-118㎡
214,誉满轩,萧山,15000,商业/建筑面积：100-302㎡
215,融创运河印,拱墅,32000,商业/建筑面积：40-114㎡
216,杭房·湖著观邸,富阳,25000,3室/4室/建筑面积：109-135㎡
217,富春泉水湾,富阳,1000,别墅/建筑面积：207-249㎡
218,杭州云山院子,富阳,540,别墅/建筑面积：165-165㎡
219,中铁建晴萃府,富阳,18800,3室/4室/建筑面积：89-128㎡
220,余交蓝城·湖印晓庐,余杭,15200,3室/建筑面积：87-102㎡
221,银泰仙女湖,萧山,850,别墅/建筑面积：220-310㎡
222,中冶锦绣公馆公寓,西湖,60000,商业/建筑面积：118-273㎡
223,开元广场铂雅公馆,萧山,23000,商业/建筑面积：55-97㎡
224,建发天悦云庐,桐庐县,19000,3室/4室/别墅/建筑面积：107-243㎡
225,滨江嘉品,桐庐县,20000,3室/4室/建筑面积：96-135㎡
226,T-ONE潮博商业中心,萧山,45000,建筑面积：450000㎡
227,世纪国泰中心,萧山,38000,建筑面积：116512㎡
228,联发阳光城檀境里,富阳,22000,3室/4室/建筑面积：89-119㎡
229,兴合望江中心,上城,60000,商业/建筑面积：40-97㎡
230,新力启云府,余杭,24000,2室/3室/4室/建筑面积：81-129.84㎡
231,宸颂星街,上城,31500,NaN
232,德信中南江上云起,建德市,14000,2室/3室/4室/建筑面积：89-165㎡
233,广宇塘颂,临平,28300,建筑面积：47175㎡
234,建发缦云,拱墅,45000,商业/建筑面积：320㎡
235,千岛湖桂语江南,淳安县,13000,3室/建筑面积：95-128㎡
236,理想世纪金座,临平,25000,商业/建筑面积：49-72㎡
237,越秀招商云悦湾,上城,42000,商业/建筑面积：38-59㎡
238,时代湘湖,萧山,30000,商业/建筑面积：36-69㎡
239,东投悦荣府,临安,16200,2室/3室/4室/建筑面积：77-125㎡
240,吾角商业中心,钱塘,25500,商业/建筑面积：34-52㎡
241,越秀星悦城,临安,22000,3室/4室/建筑面积：95-125㎡
242,颐和山庄,临安,23000,2室/3室/4室/别墅/建筑面积：79-197㎡
243,华景川曜珹里,余杭,33150,4室/别墅/建筑面积：140-168㎡
244,龙湖天瑄城,上城,30000,建筑面积：605100㎡
245,信达之江壹品,西湖,990,别墅/建筑面积：180-195㎡
246,杭房城发润如园,上城,28900,4室/建筑面积：139㎡
247,Mo.C星辉时光城,萧山,21000,商业/建筑面积：27-72㎡
248,青西铭府,钱塘,20800,3室/4室/建筑面积：101-136㎡
249,杭臻源筑,钱塘,37500,3室/4室/建筑面积：105-142㎡
250,云檐里,余杭,403,别墅/建筑面积：163-168㎡
251,和家园臻园,西湖,1614,4室/5室/别墅/建筑面积：148-240㎡
252,蓝城·春风里,杭州周边,23800,2室/3室/建筑面积：70-114㎡
253,滨江兴耀·枫翠岚湾,萧山,30000,3室/4室/建筑面积：96-125㎡
254,英蓝岫町华庭,拱墅,56246,建筑面积：224199㎡
255,赞成翠悦半岛,萧山,36900,3室/4室/别墅/建筑面积：89.78-165.64㎡
256,西溪宸悦,西湖,41500,商业/建筑面积：35-168㎡
257,久宸里,上城,80000,商业/建筑面积：255-515㎡
258,招商蛇口花栖云境里,萧山,25600,3室/4室/建筑面积：100.45-115.57㎡
259,云汇城SOHO,余杭,25000,商业/建筑面积：57-60㎡
260,棠源美宸里,拱墅,34000,3室/4室/建筑面积：98-120㎡
261,锦上悦华里,萧山,18000,3室/4室/建筑面积：89-115㎡
262,钱潮鸣翠云筑,上城,67600,建筑面积：101236㎡
263,滨融府,拱墅,50000,建筑面积：51161㎡
264,碧桂园万科悦望名邸,富阳,21900,3室/4室/别墅/建筑面积：95-199.21㎡
265,滨江定福阁,上城,4000,建筑面积：28229㎡
266,山水时代,萧山,38000,商业/建筑面积：59-70㎡
267,樟宜翠湾,萧山,29800,3室/4室/建筑面积：89-130㎡
268,翠揽云境,上城,44400,3室/4室/建筑面积：106-146㎡
269,天樾四季,临平,22813,3室/4室/别墅/建筑面积：95-139㎡
270,美致印象中心,临平,18000,商业/建筑面积：29-71㎡
271,银城青山湖畔临枫园,临安,21000,3室/4室/别墅/建筑面积：89-140㎡
272,华城茶语华邸,临平,23000,3室/4室/5室/建筑面积：97-366㎡
273,旭辉珺和府,萧山,14600,3室/4室/建筑面积：89-120㎡
274,建发·云熙,余杭,30410,建筑面积：152355㎡
275,春风长住·晴翠秋时府,临平,23600,3室/4室/建筑面积：97-117㎡
276,中交保利江语云城,富阳,16300,3室/4室/建筑面积：89-120㎡
277,凯德金沙项目,钱塘,38300,建筑面积：89225㎡
278,西房良语云缦,临平,28500,3室/4室/建筑面积：96-139㎡
279,中南未来里,余杭,40000,商业/建筑面积：35-73㎡
280,华夏·溪揽星院,余杭,436,别墅/建筑面积：142-182㎡
281,望江月小区,桐庐县,8500,3室/建筑面积：100-112㎡
282,星翠芳华府,临平,26100,3室/4室/建筑面积：95-139㎡
283,航成悦府,建德市,6800,2室/3室/4室/建筑面积：73-122㎡
284,杭房首望澜翠府,富阳,19700,3室/4室/别墅/建筑面积：112-222㎡
285,龙湖铂曜星座,钱塘,16167,商业/建筑面积：42-64㎡
286,恒福禹都,临安,373,2室/3室/4室/别墅/建筑面积：75-164㎡
287,驭远久映樾府,钱塘,22700,3室/4室/5室/建筑面积：98-170㎡
288,杭房·启润学府,富阳,24500,3室/4室/建筑面积：98-129㎡
289,之江印,西湖,30000,商业/建筑面积：32-41㎡
290,滨江·清来嘉座,拱墅,38000,建筑面积：177851㎡
291,凤凰府邸,临安,9800,2室/3室/别墅/建筑面积：75-222㎡
292,万泰华章,萧山,17000,3室/4室/建筑面积：89-118㎡
293,广宇锦云里,富阳,21380,3室/4室/5室/建筑面积：95-160.96㎡
294,未来云帆城公寓,钱塘,20000,商业/建筑面积：45-90㎡
295,西投滨江五幸金座公寓,西湖,28000,商业/建筑面积：25.7-53㎡
296,银昇·隐舟府,萧山,17500,3室/别墅/建筑面积：112-163㎡
297,华发荟天府,临安,22800,2室/3室/建筑面积：70-119㎡
298,湖畔澄庐,淳安县,13000,3室/4室/别墅/建筑面积：95-183㎡
299,山水华府,富阳,22000,3室/4室/建筑面积：96-116㎡
300,德信空港城,萧山,23000,商业/建筑面积：34-43㎡
301,中天溪珺庭,临安,22800,1室/2室/建筑面积：50-95㎡
302,华鸿都会中心,萧山,55000,商业/建筑面积：430-450㎡
303,保亿丽云府,临安,19388,3室/4室/建筑面积：94-124㎡
304,桃语春福里,临安,14300,1室/2室/3室/4室/别墅/建筑面积：36-130㎡
305,同进韵动城,萧山,25000,商业/建筑面积：50-56㎡
306,春山明月?台树,临安,397,别墅/建筑面积：155-185㎡
307,绿地商业中心,上城,38000,商业/建筑面积：46-110㎡
308,大家云上金铭府,富阳,22000,3室/4室/建筑面积：88.04-125㎡
309,奥城望,桐庐县,15000,3室/4室/别墅/建筑面积：90-246㎡
310,滨湖天地,临安,21800,3室/4室/建筑面积：89-169㎡
311,招商德信云望之宸,富阳,25000,3室/4室/建筑面积：95-122㎡
312,公元帝景,萧山,614,别墅/建筑面积：285-495㎡
313,越秀·云麓悦映邸,临安,18200,3室/建筑面积：89-89㎡
314,融创云辰富源里,富阳,27000,3室/4室/建筑面积：98.41-135㎡
315,瑶琳华庭,桐庐县,10500,1室/2室/建筑面积：43-73㎡
316,云川未来城,富阳,18800,3室/4室/建筑面积：89-135㎡
317,赞成武林里,拱墅,32000,商业/建筑面积：37-37㎡
318,天荟未来之光城,余杭,25000,商业/建筑面积：25-35㎡
319,海伦堡星座,上城,28000,商业/建筑面积：48.79㎡
320,未来之芯,临安,11000,建筑面积：60-90㎡
321,绿城千岛湖柳岸晓风,淳安县,300,3室/4室/建筑面积：89-143㎡
322,翠苑荟公寓,西湖,47000,商业/建筑面积：40-77㎡
323,浅山明月府,桐庐县,10800,3室/建筑面积：105-123㎡
324,鼎和金座,临平,20000,商业/建筑面积：35-45㎡
325,华景川云萃天和城,富阳,18800,3室/4室/建筑面积：98-123㎡
326,西溪美岸,余杭,38000,商业/建筑面积：41-73㎡
327,枫柏兰庭,临安,11000,3室/4室/建筑面积：89-129㎡
328,绿城·檀影云庐,临安,300,别墅/建筑面积：128-163㎡
329,滨汇名望云筑,富阳,25273,商业/建筑面积：320-520㎡
330,宸锦学府,临安,22000,2室/建筑面积：70-70㎡
331,之江门公寓,西湖,32000,商业/建筑面积：55㎡
332,辰春澜城,富阳,21000,3室/建筑面积：89-105㎡
333,同人山庄,临安,450,别墅/建筑面积：117-211㎡
334,敏捷星著柏悦府,临安,22800,3室/4室/建筑面积：89-139㎡
335,祥生中心,上城,38000,商业/建筑面积：45-71㎡
336,建杭江与河公寓,上城,75000,NaN
337,千岛湖雨润星雨华府,淳安县,12500,2室/3室/4室/建筑面积：82-193㎡
338,美的西径晓风,临安,18000,3室/4室/别墅/建筑面积：89-197㎡
339,龙大悦江府,建德市,31000,2室/4室/别墅/建筑面积：105-178㎡
340,佳源锦晟里,临安,20000,1室/2室/3室/建筑面积：49-89㎡
341,紫创商务中心,西湖,43000,商业/建筑面积：39-57㎡
342,东亚溪雅香舍,临安,10446,2室/3室/4室/建筑面积：75-139㎡
343,千岛湖香里开元度假村,淳安县,17000,1室/建筑面积：46-80㎡
344,招商1872汇港城,上城,45000,商业/建筑面积：38-55㎡
345,越秀归悦里,临安,21600,2室/3室/别墅/建筑面积：87-175㎡
346,绿城·良渚芯云,余杭,38439,建筑面积：255000㎡
347,曲江新鸥鹏杭州第三城,临平,30000,建筑面积：243691㎡
348,桃李望湖,临安,26892,3室/4室/建筑面积：108-178㎡
349,未来新湖中心,余杭,33000,商业/建筑面积：55-61㎡
350,圆尊府,桐庐县,20800,3室/4室/别墅/建筑面积：89-139㎡
351,绿地潮悦江山城,富阳,27000,2室/3室/4室/建筑面积：81.09-144㎡
352,富春云庄,桐庐县,19000,3室/4室/别墅/建筑面积：102-222㎡
353,鼎创财富中心,余杭,32000,商业/建筑面积：45-56㎡
354,云栖奇岭府,桐庐县,230,别墅/建筑面积：147-215㎡
355,宝湖龙渡,杭州周边,20000,2室/3室/4室/5室/建筑面积：88.28-194.6㎡
356,越秀·星颂府,临安,25900,3室/建筑面积：89-99㎡
357,天溪半岛,桐庐县,850,别墅/建筑面积：551-999㎡
358,大麗和和中心,余杭,32800,建筑面积：38000㎡
359,之江潮,西湖,33000,商业/建筑面积：50-51㎡
360,新湖金色池塘,余杭,549,3室/4室/别墅/建筑面积：108-245㎡
